Stage number;HealthyObject number;InfectedObject number;MedicalObject number;CureObject number;New recovered number;New infected number
0;200;5;20;20;0;0
1;198;7;20;20;0;2
2;198;7;20;20;0;0
3;198;7;20;19;1;1
4;198;7;20;18;1;1
5;196;9;20;18;0;2
6;195;10;20;18;0;1
7;195;10;20;18;0;0
8;194;11;20;18;0;1
9;194;11;20;18;0;0
10;191;14;20;17;1;4
11;192;13;20;17;1;0
12;191;14;20;17;0;1
13;188;17;20;17;0;3
14;187;18;20;17;0;1
15;187;18;20;17;1;1
16;188;17;20;17;1;0
17;187;18;20;17;1;2
18;183;22;20;17;0;4
19;181;24;20;17;0;2
20;179;26;20;17;1;3
21;176;29;20;17;0;3
22;173;32;20;17;0;3
23;173;32;20;17;0;0
24;173;32;20;17;1;1
25;172;33;20;17;0;1
26;169;36;20;17;0;3
27;168;37;20;17;0;1
28;167;38;20;17;0;1
29;168;37;20;16;2;1
30;165;40;20;16;0;3
31;165;40;20;15;2;2
32;161;44;20;14;2;6
33;159;46;20;14;1;3
34;157;48;20;14;3;5
35;150;55;20;13;1;8
36;148;57;20;13;0;2
37;150;55;20;13;2;0
38;148;57;20;13;0;2
39;148;57;20;13;1;1
40;144;61;20;12;2;6
41;145;60;20;12;2;1
42;145;60;20;12;1;1
43;140;65;20;12;1;6
44;136;69;20;12;3;7
45;133;72;20;11;1;4
46;132;73;20;11;2;3
47;130;75;20;11;1;3
48;131;74;20;11;2;1
49;132;73;20;10;3;2
50;128;77;20;10;0;4
51;131;74;20;10;3;0
52;130;75;20;9;2;3
53;129;76;20;9;3;4
54;125;80;20;9;1;5
55;125;80;20;8;2;2
56;125;80;20;8;2;2
57;123;82;20;8;1;3
58;123;82;20;8;3;3
59;124;81;20;8;2;1
60;130;75;20;6;8;2
61;127;78;20;6;2;5
62;127;78;20;6;1;1
63;127;78;20;6;3;3
64;126;79;20;6;1;2
65;123;82;20;6;0;3
66;120;85;20;6;1;4
67;119;86;20;6;4;5
68;113;92;20;6;1;7
69;108;97;20;6;0;5
70;108;97;20;6;2;2
71;106;99;20;6;2;4
72;105;100;20;6;2;3
73;108;97;20;4;5;2
74;108;97;20;3;2;2
75;101;104;20;3;2;9
76;100;105;20;2;3;4
77;100;105;20;2;2;2
78;99;106;20;2;0;1
79;98;107;20;2;1;2
80;90;115;20;2;0;8
81;90;115;20;2;3;3
82;90;115;20;2;2;2
83;92;113;20;2;4;2
84;88;117;20;2;1;5
85;86;119;20;2;3;5
86;83;122;20;2;2;5
87;82;123;20;2;2;3
88;79;126;20;2;5;8
89;77;128;20;2;2;4
90;73;132;20;2;2;6
91;72;133;20;2;6;7
92;71;134;20;2;4;5
93;68;137;20;2;5;8
94;67;138;20;2;2;3
95;70;135;20;2;4;1
96;72;133;20;2;5;3
97;70;135;20;2;3;5
98;70;135;20;2;4;4
99;71;134;20;2;6;5
100;71;134;20;2;3;3
