Stage number;HealthyObject number;InfectedObject number;MedicalObject number;CureObject number;New recovered number;New infected number
0;200;5;20;20;0;0
1;200;5;20;20;0;0
2;200;5;20;19;1;1
3;197;8;20;19;0;3
4;197;8;20;18;2;2
5;195;10;20;18;0;2
6;195;10;20;18;1;1
7;195;10;20;18;0;0
8;195;10;20;18;0;0
9;193;12;20;18;0;2
10;193;12;20;17;1;1
11;192;13;20;17;0;1
12;190;15;20;17;0;2
13;186;19;20;17;0;4
14;185;20;20;17;1;2
15;183;22;20;17;2;4
16;182;23;20;17;1;2
17;181;24;20;17;0;1
18;180;25;20;17;0;1
19;178;27;20;17;0;2
20;177;28;20;16;4;5
21;178;27;20;16;3;2
22;179;26;20;16;2;1
23;178;27;20;16;0;1
24;174;31;20;16;0;4
25;174;31;20;15;2;2
26;172;33;20;15;0;2
27;170;35;20;15;0;2
28;170;35;20;15;1;1
29;170;35;20;15;0;0
30;168;37;20;15;0;2
31;170;35;20;15;3;1
32;168;37;20;14;1;3
33;166;39;20;14;0;2
34;166;39;20;14;1;1
35;163;42;20;14;0;3
36;162;43;20;14;1;2
37;162;43;20;14;3;3
38;162;43;20;13;1;1
39;160;45;20;13;0;2
40;158;47;20;13;1;3
41;155;50;20;13;1;4
42;154;51;20;13;0;1
43;150;55;20;12;1;5
44;149;56;20;12;0;1
45;146;59;20;12;1;4
46;143;62;20;11;2;5
47;141;64;20;11;0;2
48;141;64;20;11;1;1
49;141;64;20;11;2;2
50;141;64;20;11;1;1
51;135;70;20;11;0;6
52;133;72;20;10;3;5
53;133;72;20;10;2;2
54;132;73;20;10;2;3
55;132;73;20;10;1;1
56;131;74;20;10;2;3
57;129;76;20;10;1;3
58;127;78;20;10;0;2
59;127;78;20;10;1;1
60;125;80;20;10;2;4
61;121;84;20;10;1;5
62;119;86;20;10;0;2
63;118;87;20;10;1;2
64;115;90;20;10;0;3
65;113;92;20;10;1;3
66;112;93;20;10;0;1
67;111;94;20;10;2;3
68;110;95;20;10;2;3
69;106;99;20;10;1;5
70;102;103;20;10;1;5
71;104;101;20;7;3;1
72;107;98;20;7;5;2
73;105;100;20;7;2;4
74;106;99;20;7;2;1
75;108;97;20;7;3;1
76;109;96;20;7;2;1
77;105;100;20;7;1;5
78;105;100;20;7;1;1
79;106;99;20;6;2;1
80;102;103;20;6;2;6
81;103;102;20;6;2;1
82;100;105;20;6;0;3
83;99;106;20;6;2;3
84;100;105;20;6;3;2
85;105;100;20;4;7;2
86;108;97;20;4;5;2
87;106;99;20;4;0;2
88;105;100;20;4;0;1
89;103;102;20;4;1;3
90;103;102;20;4;3;3
91;100;105;20;4;1;4
92;96;109;20;4;1;5
93;95;110;20;4;1;2
94;93;112;20;4;0;2
95;95;110;20;4;3;1
96;92;113;20;4;0;3
97;91;114;20;4;2;3
98;86;119;20;4;0;5
99;86;119;20;3;1;1
100;86;119;20;3;3;3
